rank_overall,theologian,sermon_id,sermon_key,cluster,overall_score,n_scores,narrative.coherentie.score,aristoteles.ethos.score,aristoteles.logos.score,aristoteles.orthodoxy_logos.score,aristoteles.orthopathy_pathos.score,aristoteles.orthopraxy_ethos.score,aristoteles.pathos.score,dekker.1_specific_bible_passage.score,dekker.2_exegesis_original_context.score,dekker.3_application_concrete_contemporary.score,dekker.4_interwoveness_exposition_application.score,dekker.5_three_parts_misery_redemption_gratitude.score,dekker.6_two_ways_seriousness_of_choice.score,dekker.7_christocentric_grace.score,dekker.8_depth_and_length.score,esthetiek.dramaturgy.b1_narrative_arc.score,esthetiek.dramaturgy.b2_integration_text_and_context.score,esthetiek.dramaturgy.b3_openness_vs_closedness.score,esthetiek.poetics.a1_imagery.score,esthetiek.poetics.a2_carefulness_and_precision.score,esthetiek.poetics.a3_musicality_and_rhythm.score,kolb.abstract_conceptualization.score,kolb.active_experimentation.score,kolb.concrete_experience.score,kolb.integrality.balance_between_phases.score,kolb.integrality.cycle_completeness.score,kolb.integrality.holistic_learning.score,kolb.reflective_observation.score,schulz.appeal_aspect.score,schulz.factual_content.score,schulz.relational_aspect.score,schulz.self_revelation.score,transactional.adult.score,transactional.child.free_FC.score,transactional.child.freedom_AC.score,transactional.parent.freedom_CP.score,transactional.parent.nurturing_NP.score
1,rutledge,86,rutledge_86,7,7.378378378378378,37,9,7,7,8,8,7,8,6,5,7,6,6,8,5,8,8,9,7,7,8,8,8,6,7,7,7,7,8,8,7,6,8,9,7,9,8,9
2,rutledge,111,rutledge_111,7,7.351351351351352,37,10,8,7,8,8,7,8,6,7,8,6,7,5,7,5,8,8,7,8,7,8,8,5,8,6,7,7,7,8,8,6,7,9,7,9,8,9
3,rutledge,26,rutledge_26,7,7.351351351351352,37,10,8,7,8,9,7,8,6,5,8,7,7,5,6,6,8,9,7,8,8,7,7,5,8,6,6,7,7,7,8,8,7,9,7,9,8,9
4,rutledge,215,rutledge_215,7,7.324324324324325,37,10,8,7,8,7,7,8,7,6,8,7,8,5,7,7,8,9,7,8,8,7,8,5,8,6,6,6,7,8,8,6,7,9,6,9,8,7
5,keller,02,keller_02,9,7.27027027027027,37,9,7,8,9,7,7,7,6,7,7,5,7,6,8,8,7,8,6,7,8,6,8,5,7,6,7,7,8,8,8,6,7,9,7,9,8,9
6,rutledge,221,rutledge_221,7,7.243243243243243,37,10,8,7,8,8,7,8,5,3,8,4,6,7,6,7,8,9,7,8,8,7,8,5,8,6,7,7,7,7,7,6,8,9,8,9,8,9
7,rutledge,04,rutledge_04,7,7.162162162162162,37,10,7,7,8,9,7,8,6,5,8,7,7,4,7,5,8,9,7,7,8,7,7,5,7,6,6,6,8,8,7,6,6,9,7,9,8,9
8,rutledge,310,rutledge_310,7,7.162162162162162,37,10,8,7,8,8,7,8,6,5,7,6,7,8,8,5,8,8,6,7,8,7,7,5,8,6,6,7,7,7,7,6,8,9,6,9,8,7
9,rutledge,126,rutledge_126,7,7.135135135135135,37,10,7,6,7,8,7,8,5,4,7,6,7,5,8,5,8,9,7,8,8,7,7,5,8,6,7,7,7,7,7,6,8,9,7,9,8,9
10,keller,28,keller_28,9,7.108108108108108,37,10,7,8,9,7,7,7,6,7,7,5,6,4,7,8,7,8,6,7,8,6,8,5,7,6,6,7,8,8,8,7,7,9,6,9,8,7
11,rutledge,19,rutledge_19,9,7.108108108108108,37,10,8,8,9,7,8,7,4,6,7,5,7,8,7,5,7,8,6,8,7,8,8,5,6,6,7,7,7,7,8,6,7,9,6,9,8,7
